price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement
221900.0,3,1.0,1180,5650,1.0,3,1180,0
538000.0,3,2.25,2570,7242,2.0,3,2170,400
180000.0,2,1.0,770,10000,1.0,3,770,0
604000.0,4,3.0,1960,5000,1.0,5,1050,910
510000.0,3,2.0,1680,8080,1.0,3,1680,0
1225000.0,4,4.5,5420,101930,1.0,3,3890,1530
257500.0,3,2.25,1715,6819,2.0,3,1715,0
291850.0,3,1.5,1060,9711,1.0,3,1060,0
229500.0,3,1.0,1780,7470,1.0,3,1050,730
323000.0,3,2.5,1890,6560,2.0,3,1890,0
662500.0,3,2.5,3560,9796,1.0,3,1860,1700
468000.0,2,1.0,1160,6000,1.0,4,860,300
310000.0,3,1.0,1430,19901,1.5,4,1430,0
400000.0,3,1.75,1370,9680,1.0,4,1370,0
530000.0,5,2.0,1810,4850,1.5,3,1810,0
650000.0,4,3.0,2950,5000,2.0,3,1980,970
395000.0,3,2.0,1890,14040,2.0,3,1890,0
485000.0,4,1.0,1600,4300,1.5,4,1600,0
189000.0,2,1.0,1200,9850,1.0,4,1200,0
230000.0,3,1.0,1250,9774,1.0,4,1250,0
385000.0,4,1.75,1620,4980,1.0,4,860,760
2000000.0,3,2.75,3050,44867,1.0,3,2330,720
285000.0,5,2.5,2270,6300,2.0,3,2270,0
252700.0,2,1.5,1070,9643,1.0,3,1070,0
329000.0,3,2.25,2450,6500,2.0,4,2450,0
233000.0,3,2.0,1710,4697,1.5,5,1710,0
937000.0,3,1.75,2450,2691,2.0,3,1750,700
667000.0,3,1.0,1400,1581,1.5,5,1400,0
438000.0,3,1.75,1520,6380,1.0,3,790,730
719000.0,4,2.5,2570,7173,2.0,3,2570,0
580500.0,3,2.5,2320,3980,2.0,3,2320,0
280000.0,2,1.5,1190,1265,3.0,3,1190,0
687500.0,4,1.75,2330,5000,1.5,4,1510,820
535000.0,3,1.0,1090,3000,1.5,4,1090,0
322500.0,4,2.75,2060,6659,1.0,3,1280,780
696000.0,3,2.5,2300,3060,1.5,3,1510,790
550000.0,4,1.0,1660,34848,1.0,1,930,730
640000.0,4,2.0,2360,6000,2.0,4,2360,0
240000.0,4,1.0,1220,8075,1.0,2,890,330
605000.0,4,2.5,2620,7553,2.0,3,2620,0
625000.0,4,2.5,2570,5520,2.0,3,2570,0
775000.0,4,2.25,4220,24186,1.0,3,2600,1620
861990.0,5,2.75,3595,5639,2.0,3,3595,0
685000.0,3,1.0,1570,2280,2.0,3,1570,0
309000.0,3,1.0,1280,9656,1.0,4,920,360
488000.0,3,2.5,3160,13603,2.0,3,3160,0
210490.0,3,1.0,990,8528,1.0,3,990,0
785000.0,4,2.5,2290,13416,2.0,4,2290,0
450000.0,3,1.75,1250,5963,1.0,4,1250,0
1350000.0,3,2.5,2753,65005,1.0,5,2165,588
228000.0,3,1.0,1190,9199,1.0,3,1190,0
345000.0,5,2.5,3150,9134,1.0,4,1640,1510
600000.0,3,1.75,1410,4080,1.0,4,1000,410
585000.0,2,1.75,1980,8550,1.0,3,990,990
920000.0,5,2.25,2730,6000,1.5,3,2130,600
885000.0,4,2.5,2830,5000,2.0,3,2830,0
292500.0,4,2.5,2250,4495,2.0,3,2250,0
301000.0,3,2.5,2420,4750,2.0,3,2420,0
951000.0,5,3.25,3250,14342,2.0,4,3250,0
430000.0,4,3.0,1850,9976,2.0,3,1850,0
650000.0,3,2.25,2150,21235,1.0,4,1590,560
289000.0,3,1.75,1260,8400,1.0,3,1260,0
505000.0,3,1.75,2519,8690,2.0,5,2519,0
549000.0,3,1.75,1540,1044,3.0,3,1540,0
425000.0,3,2.25,1660,6000,1.0,3,1110,550
317625.0,3,2.75,2770,3809,1.5,5,1770,1000
